"Story","Title","Result","Date","Stability","Duration (s)"
"Voucher entries","Release retention full","FAILURE","2023-02-21T15:40:01.081+08:00[Asia/Shanghai]","0.0","62.99"
"Voucher entries","Voucher match with positive for adding a line","ERROR","2023-02-21T15:43:29.857+08:00[Asia/Shanghai]","0.0","66.0"
"Voucher entries","Search and post PV","ERROR","2023-02-21T15:51:56.582+08:00[Asia/Shanghai]","0.0","69.1"
"Voucher entries","Voucher match with tax","ERROR","2023-02-21T15:56:23.514+08:00[Asia/Shanghai]","0.0","63.27"
"Voucher entries","Partial voucher match","ERROR","2023-02-21T15:57:27.562+08:00[Asia/Shanghai]","0.0","64.02"
"Voucher entries","Voucher match with retention","ERROR","2023-02-21T15:58:32.331+08:00[Asia/Shanghai]","0.0","74.33"
"Voucher entries","Voucher entry import CSV file","ERROR","2023-02-21T15:59:48.026+08:00[Asia/Shanghai]","0.0","124.15"
"Voucher entries","Voucher match with negative for adding a line","ERROR","2023-02-21T16:01:52.996+08:00[Asia/Shanghai]","0.0","65.7"
"Voucher entries","Partial voucher match with tax rate","ERROR","2023-02-21T16:02:59.463+08:00[Asia/Shanghai]","0.0","57.03"
"Voucher entries","Partial voucher match with negative additional lines","ERROR","2023-02-21T16:09:35.374+08:00[Asia/Shanghai]","0.0","65.46"
"Voucher entries","Voucher entry proceed to payment","ERROR","2023-02-21T16:12:11.037+08:00[Asia/Shanghai]","0.0","262.38"
"Voucher entries","Multiple lines with same PO and different item code","ERROR","2023-02-21T16:16:34.239+08:00[Asia/Shanghai]","0.0","69.62"
"Voucher entries","Partial voucher match with retention","ERROR","2023-02-21T16:17:44.631+08:00[Asia/Shanghai]","0.0","107.08"
"Voucher entries","Multiple lines with different PO and different item code","ERROR","2023-02-21T16:19:32.52+08:00[Asia/Shanghai]","0.0","69.1"
"Voucher entries","Multiple lines with same PO and same item code","ERROR","2023-02-21T16:27:53.659+08:00[Asia/Shanghai]","0.0","72.29"
"Voucher entries","Voucher match with retention and tax","ERROR","2023-02-21T16:29:06.725+08:00[Asia/Shanghai]","0.0","148.93"
"Voucher entries","Multiple lines with different PO and same item code","ERROR","2023-02-21T16:31:36.447+08:00[Asia/Shanghai]","0.0","66.41"
"Voucher entries","Simple voucher match","ERROR","2023-02-21T16:32:43.587+08:00[Asia/Shanghai]","0.0","67.18"
"Voucher entries","Release retention partial","ERROR","2023-02-21T16:33:51.547+08:00[Asia/Shanghai]","0.0","147.97"
"Voucher entries","Partial matching with rounded tax amount","ERROR","2023-02-21T16:36:20.379+08:00[Asia/Shanghai]","0.0","71.48"
"Voucher entries","Voucher matching","ERROR","2023-02-21T16:40:29.631+08:00[Asia/Shanghai]","0.0","73.01"
"Voucher entries","Voucher entry export CSV file","ERROR","2023-02-21T16:41:43.424+08:00[Asia/Shanghai]","0.0","260.97"
"Voucher entries","Voucher match with rounded off tax","ERROR","2023-02-21T16:51:52.981+08:00[Asia/Shanghai]","0.0","68.59"
"Voucher entries","Partial voucher match with positive additional lines","ERROR","2023-02-21T16:55:38.795+08:00[Asia/Shanghai]","0.0","68.37"
